user_id,question_id,role,competency,skill_group,question_type,difficulty_label,difficulty,quality_score,skill_before,skill_after,timestamp,session_order
u_0165,DA_LZ_030,DA,SQL_DATABASE,SQL_DATABASE,CODING,EASY,0.3,1,0.499,0.5391,2024-12-18 17:24:00,1
u_0165,DA_LZ_046,DA,SQL_DATABASE,SQL_DATABASE,CODING,EASY,0.3,2,0.5391,0.576,2024-12-18 17:27:00,2
u_0165,GEN_DA_BI_TOOLS_036,DA,BI_VISUALIZATION,BI_VISUALIZATION,THEORY,EASY,0.3,0,0.34,0.3393,2024-12-18 17:33:00,3
u_0165,DA_YH_064,DA,STATISTICS_EXPERIMENTATION,STATISTICS_EXPERIMENTATION,THEORY,EASY,0.3,2,0.597,0.6292,2024-12-18 17:38:00,4
u_0165,GEN_DA_STATISTICS_013,DA,STATISTICS_EXPERIMENTATION,STATISTICS_EXPERIMENTATION,THEORY,EASY,0.3,1,0.6292,0.6589,2024-12-18 17:45:00,5
u_0165,GEN_DA_BI_TOOLS_016,DA,BI_VISUALIZATION,BI_VISUALIZATION,THEORY,EASY,0.3,0,0.3393,0.3386,2024-12-18 17:50:00,6
u_0165,GEN_DA_ANALYTICS_068,DA,ANALYTICS_BUSINESS,ANALYTICS_BUSINESS,THEORY,EASY,0.3,2,0.549,0.5851,2024-12-18 17:58:00,7
u_0165,GEN_DA_ANALYTICS_086,DA,ANALYTICS_BUSINESS,ANALYTICS_BUSINESS,THEORY,EASY,0.3,2,0.5851,0.6183,2024-12-18 18:06:00,8
u_0165,DA_YH_068,DA,STATISTICS_EXPERIMENTATION,STATISTICS_EXPERIMENTATION,THEORY,EASY,0.3,2,0.6589,0.6862,2024-12-18 18:11:00,9
u_0165,GEN_DA_ANALYTICS_043,DA,ANALYTICS_BUSINESS,ANALYTICS_BUSINESS,THEORY,EASY,0.3,0,0.6183,0.617,2024-12-18 18:15:00,10
u_0165,DA_LZ_134,DA,SQL_DATABASE,SQL_DATABASE,MC_SINGLE,MEDIUM,0.55,0,0.576,0.5748,2024-12-18 18:21:00,11
u_0165,DA_GH_102,DA,SQL_DATABASE,SQL_DATABASE,CODING,MEDIUM,0.55,2,0.5748,0.6088,2024-12-18 18:29:00,12
u_0165,CONV_TF_0059,DA,STATISTICS_EXPERIMENTATION,STATISTICS_EXPERIMENTATION,TRUE_FALSE,EASY,0.3,2,0.6862,0.7113,2024-12-18 18:33:00,13
u_0165,DA_LZ_112,DA,SQL_DATABASE,SQL_DATABASE,MC_SINGLE,MEDIUM,0.55,2,0.6088,0.6401,2024-12-18 18:37:00,14
u_0165,DA_LZ_096,DA,SQL_DATABASE,SQL_DATABASE,MC_SINGLE,MEDIUM,0.55,1,0.6401,0.6689,2024-12-18 18:45:00,15
u_0165,GEN_DA_PYTHON_DA_011,DA,PYTHON_ANALYTICS,PYTHON_ANALYTICS,THEORY,EASY,0.3,0,0.45,0.4491,2024-12-18 18:53:00,16
u_0165,DA_LZ_098,DA,SQL_DATABASE,SQL_DATABASE,MC_SINGLE,MEDIUM,0.55,2,0.6689,0.6954,2024-12-18 19:01:00,17
u_0165,GEN_DA_BI_TOOLS_012,DA,BI_VISUALIZATION,BI_VISUALIZATION,THEORY,MEDIUM,0.55,1,0.3386,0.3916,2024-12-18 19:09:00,18
u_0165,GEN_DA_ANALYTICS_057,DA,BI_VISUALIZATION,BI_VISUALIZATION,THEORY,MEDIUM,0.55,1,0.3916,0.4402,2024-12-18 19:15:00,19
u_0165,GEN_DA_BI_TOOLS_017,DA,BI_VISUALIZATION,BI_VISUALIZATION,THEORY,MEDIUM,0.55,1,0.4402,0.485,2024-12-18 19:23:00,20
u_0165,GEN_DA_BI_TOOLS_032,DA,BI_VISUALIZATION,BI_VISUALIZATION,THEORY,MEDIUM,0.55,0,0.485,0.484,2024-12-18 19:27:00,21
u_0165,GEN_DA_STATISTICS_017,DA,STATISTICS_EXPERIMENTATION,STATISTICS_EXPERIMENTATION,THEORY,MEDIUM,0.55,1,0.7113,0.7344,2024-12-18 19:30:00,22
u_0165,GEN_DA_BI_TOOLS_022,DA,BI_VISUALIZATION,BI_VISUALIZATION,THEORY,MEDIUM,0.55,2,0.484,0.5253,2024-12-18 19:33:00,23
u_0165,GEN_DA_BI_TOOLS_028,DA,BI_VISUALIZATION,BI_VISUALIZATION,THEORY,MEDIUM,0.55,0,0.5253,0.5243,2024-12-18 19:39:00,24
u_0165,GEN_DA_ANALYTICS_095,DA,ANALYTICS_BUSINESS,ANALYTICS_BUSINESS,THEORY,MEDIUM,0.55,2,0.617,0.6477,2024-12-18 19:43:00,25
u_0165,GEN_DA_STATISTICS_015,DA,STATISTICS_EXPERIMENTATION,STATISTICS_EXPERIMENTATION,THEORY,MEDIUM,0.55,0,0.7344,0.7329,2024-12-18 19:50:00,26
u_0165,GEN_DA_ANALYTICS_090,DA,ANALYTICS_BUSINESS,ANALYTICS_BUSINESS,THEORY,MEDIUM,0.55,0,0.6477,0.6464,2024-12-18 19:55:00,27
u_0165,GEN_DA_PYTHON_DA_030,DA,PYTHON_ANALYTICS,PYTHON_ANALYTICS,THEORY,MEDIUM,0.55,1,0.4491,0.4932,2024-12-18 20:01:00,28
u_0165,GEN_DA_ANALYTICS_074,DA,ANALYTICS_BUSINESS,ANALYTICS_BUSINESS,THEORY,MEDIUM,0.55,2,0.6464,0.6747,2024-12-18 20:09:00,29
u_0165,GEN_DA_PYTHON_DA_047,DA,PYTHON_ANALYTICS,PYTHON_ANALYTICS,THEORY,MEDIUM,0.55,1,0.4932,0.5337,2024-12-18 20:14:00,30
u_0165,GEN_DA_PYTHON_DA_003,DA,PYTHON_ANALYTICS,PYTHON_ANALYTICS,THEORY,MEDIUM,0.55,2,0.5337,0.571,2024-12-18 20:22:00,31
u_0165,GEN_DA_PYTHON_DA_038,DA,PYTHON_ANALYTICS,PYTHON_PANDAS,THEORY,MEDIUM,0.55,1,0.571,0.6053,2024-12-18 20:27:00,32
u_0165,GEN_DA_PYTHON_DA_008,DA,PYTHON_ANALYTICS,PYTHON_ANALYTICS,THEORY,MEDIUM,0.55,0,0.6053,0.6041,2024-12-18 20:33:00,33
u_0165,DA_YH_073,DA,STATISTICS_EXPERIMENTATION,STATISTICS_EXPERIMENTATION,THEORY,HARD,0.8,0,0.7329,0.7315,2024-12-18 20:39:00,34
u_0165,GEN_DA_STATISTICS_029,DA,STATISTICS_EXPERIMENTATION,STATISTICS_EXPERIMENTATION,THEORY,HARD,0.8,1,0.7315,0.7529,2024-12-18 20:43:00,35
u_0165,GEN_DA_PYTHON_DA_014,DA,PYTHON_ANALYTICS,PYTHON_ANALYTICS,THEORY,MEDIUM,0.55,1,0.6041,0.6358,2024-12-18 20:46:00,36
u_0165,GEN_DA_ANALYTICS_094,DA,ANALYTICS_BUSINESS,ANALYTICS_FUNNEL,THEORY,HARD,0.8,0,0.6747,0.6733,2024-12-18 20:49:00,37
u_0165,GEN_DA_ANALYTICS_054,DA,ANALYTICS_BUSINESS,ANALYTICS_BUSINESS,THEORY,HARD,0.8,2,0.6733,0.6995,2024-12-18 20:53:00,38
